pocolog.rb[INFO]: loading file info from ../20190916-1811/control.0.idx... 
/motion_translator.motion_command.translation /motion_translator.motion_command.rotation /motion_translator.motion_command.heading.rad
0.0027153843806268503 -0 0
0.0050000000000000001 -0 0
0.01 -0 0
0.01 -0 0
0.014999999999999999 -0 0
0.014999999999999999 -0 0
0.02 -0 0
0.02 -0 0
0.025000000000000001 -0 0
0.025000000000000001 -0 0
0.030000000000000002 -0 0
0.030000000000000002 -0 0
0.035000000000000003 -0 0
0.035000000000000003 -0 0
0.015410168767357403 -0 0
-0.035000000000000003 0 0
-0.035000000000000003 -0.00014511551255836665 0
-0.035000000000000003 -0.002144383068330943 0
-0.035000000000000003 -0.0027726065858943451 0
-0.035000000000000003 -0.0028867458113345746 0
-0.035000000000000003 -0.003001037629322184 0
-0.035000000000000003 -0.0027153843806268503 0
-0.035000000000000003 -0.0024869533371990114 0
-0.035000000000000003 -0.0023155919064912871 0
-0.035000000000000003 -0.0020299386577959534 0
-0.035000000000000003 -0.0018587298196356089 0
-0.035000000000000003 -0.0012875759147923215 0
-0.035000000000000003 -0.00094485305337687318 0
-0.035000000000000003 -0.00065919980468153935 0
-0.035000000000000003 0 0
-0.035000000000000003 0.00054490798669392987 0
-0.035000000000000003 0.00094470046082949309 0
-0.035000000000000003 0.0010016174810022279 0
-0.035000000000000003 0.0011731315042573321 0
-0.035000000000000003 0.0019156468398083438 0
-0.035000000000000003 0.0024868007446516315 0
-0.035000000000000003 0.0026009399700918606 0
-0.035000000000000003 0.0030579546494949191 0
-0.035000000000000003 0.0032863856929227575 0
-0.03379940183721427 0.0035720389416180917 0
-0.032600939970091863 0.0038003173924985507 0
-0.031401409955137793 0.004028901028473769 0
-0.034199957274086736 0.0034578997161778618 0
-0.035000000000000003 0.0015158543656727805 0
-0.035000000000000003 0.0013444929349650564 0
-0.035000000000000003 0.0012874233222449417 0
-0.035000000000000003 0.00025925473799859615 0
-0.035000000000000003 0 0
-0.023004699850459304 0 0
0 0 0
0 0 0
