pocolog.rb[INFO]: building index ./control.0.idx ...
pocolog.rb[INFO]: done
/motion_translator.motion_command.translation /motion_translator.motion_command.rotation /motion_translator.motion_command.heading.rad
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.0060097048860133671 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
-0.030000000000000002 0 0
