0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/Sonar
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/SonarBeam
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/SonarScan
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/Wrench
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/Wrenches
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/frame/Frame
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/frame/FramePair
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/samples/frame/frame_mode_t
0.008 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /std/string
0.008 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /std/vector</base/Trajectory>
0.008 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /std/vector</base/Vector3d>
0.008 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /std/vector</base/Waypoint>
0.008 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /std/vector</std/string>
0.008 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /std/vector</uint32_t>
0.049 [ Info   ][TypekitRepository::Import] Loading Transport MQueue:///orogen/base.
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /RTT/extras/ReadOnlyPointer</base/samples/frame/Frame>
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /RTT/extras/ReadOnlyPointer</base/samples/frame/FramePair>
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Affine3d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Angle
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/AngleAxisd
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/JointLimits
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/JointState
